STT,Trạm,Thời điểm,Chỉ tiêu,Thời gian,Giá trị,Đơn vị,Giới hạn
1,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 1","19:00 - 11/02/2026","Nhiệt Độ","19:00","23.21","oC","0 - 42"
1,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 1","19:00 - 11/02/2026","Mực Nước","19:00","30.97","m","0 - 34"
1,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 1","19:00 - 11/02/2026","Lưu Lượng","19:00","94.56","m3/h",""
1,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 1","19:00 - 11/02/2026","Tổng Lưu Lượng","19:00","3,582,599.25","m3",""
2,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 3","19:00 - 11/02/2026","Nhiệt Độ","19:00","27.00","oC","0 - 42"
2,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 3","19:00 - 11/02/2026","Mực Nước","19:00","29.02","m","0 - 34"
2,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 3","19:00 - 11/02/2026","Lưu Lượng","19:00","89.21","m3/h",""
2,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 3","19:00 - 11/02/2026","Tổng Lưu Lượng","19:00","3,815,416.25","m3",""
3,"TRẠM BƠM 22","19:00 - 11/02/2026","Nhiệt Độ","19:00","0.00","oC","0 - 42"
3,"TRẠM BƠM 22","19:00 - 11/02/2026","Mực Nước","19:00","28.32","m","0 - 34"
3,"TRẠM BƠM 22","19:00 - 11/02/2026","Lưu Lượng","19:00","113.42","m3/h",""
3,"TRẠM BƠM 22","19:00 - 11/02/2026","Tổng Lưu Lượng","19:00","4,195,467.50","m3",""
4,"TRẠM BƠM 26","19:00 - 11/02/2026","Nhiệt Độ","19:00","34.04","oC","0 - 42"
4,"TRẠM BƠM 26","19:00 - 11/02/2026","Mực Nước","19:00","31.86","m","0 - 34"
4,"TRẠM BƠM 26","19:00 - 11/02/2026","Lưu Lượng","19:00","76.39","m3/h",""
4,"TRẠM BƠM 26","19:00 - 11/02/2026","Tổng Lưu Lượng","19:00","551,317.62","m3",""
5,"TRẠM BƠM 4","19:00 - 11/02/2026","Nhiệt Độ","19:00","0.00","oC","0 - 42"
5,"TRẠM BƠM 4","19:00 - 11/02/2026","Mực Nước","19:00","31.57","m","0 - 34"
5,"TRẠM BƠM 4","19:00 - 11/02/2026","Lưu Lượng","19:00","92.14","m3/h",""
5,"TRẠM BƠM 4","19:00 - 11/02/2026","Tổng Lưu Lượng","19:00","4,124,737.75","m3",""
6,"TRẠM BƠM 16","19:00 - 11/02/2026","Nhiệt Độ","19:00","0.00","oC","0 - 42"
6,"TRẠM BƠM 16","19:00 - 11/02/2026","Mực Nước","19:00","28.96","m","0 - 34"
6,"TRẠM BƠM 16","19:00 - 11/02/2026","Lưu Lượng","19:00","50.71","m3/h",""
6,"TRẠM BƠM 16","19:00 - 11/02/2026","Tổng Lưu Lượng","19:00","2,674,084.50","m3",""
7,"TRẠM BƠM 20","19:00 - 11/02/2026","Nhiệt Độ","19:00","37.80","oC","0 - 42"
7,"TRẠM BƠM 20","19:00 - 11/02/2026","Mực Nước","19:00","31.34","m","0 - 34"
7,"TRẠM BƠM 20","19:00 - 11/02/2026","Lưu Lượng","19:00","81.65","m3/h",""
7,"TRẠM BƠM 20","19:00 - 11/02/2026","Tổng Lưu Lượng","19:00","3,071,239.75","m3",""
8,"TRẠM BƠM 23","18:00 - 11/02/2026","Nhiệt Độ","18:00","0.00","oC","0 - 42"
8,"TRẠM BƠM 23","18:00 - 11/02/2026","Mực Nước","18:00","30.05","m","0 - 34"
8,"TRẠM BƠM 23","18:00 - 11/02/2026","Lưu Lượng","18:00","80.76","m3/h",""
8,"TRẠM BƠM 23","18:00 - 11/02/2026","Tổng Lưu Lượng","18:00","3,643,668.50","m3",""
9,"TRẠM BƠM 12","19:00 - 11/02/2026","Nhiệt Độ","19:00","38.80","oC","0 - 42"
9,"TRẠM BƠM 12","19:00 - 11/02/2026","Mực Nước","19:00","32.17","m","0 - 34"
9,"TRẠM BƠM 12","19:00 - 11/02/2026","Lưu Lượng","19:00","87.60","m3/h",""
9,"TRẠM BƠM 12","19:00 - 11/02/2026","Tổng Lưu Lượng","19:00","141,780.00","m3",""
10,"TRẠM BƠM 21","19:00 - 11/02/2026","Nhiệt Độ","19:00","37.70","oC","0 - 42"
10,"TRẠM BƠM 21","19:00 - 11/02/2026","Mực Nước","19:00","31.22","m","0 - 34"
10,"TRẠM BƠM 21","19:00 - 11/02/2026","Lưu Lượng","19:00","99.77","m3/h",""
10,"TRẠM BƠM 21","19:00 - 11/02/2026","Tổng Lưu Lượng","19:00","3,469,355.75","m3",""
11,"QT3 (182/GP-BTNMT)","19:00 - 11/02/2026","Nhiệt Độ","19:00","0.00","oC","0 - 42"
11,"QT3 (182/GP-BTNMT)","19:00 - 11/02/2026","Mực Nước","19:00","26.80","m","0 - 34"
12,"QT1-NM1 (2186/GP-BTNMT)","19:00 - 11/02/2026","Nhiệt Độ","19:00","25.00","oC","0 - 42"
12,"QT1-NM1 (2186/GP-BTNMT)","19:00 - 11/02/2026","Mực Nước","19:00","28.34","m","0 - 34"
13,"QT2-NM1 (2186/GP-BTNMT)","21:00 - 09/02/2026","Nhiệt Độ","21:00","25.00","oC","0 - 42"
13,"QT2-NM1 (2186/GP-BTNMT)","21:00 - 09/02/2026","Mực Nước","21:00","27.03","m","0 - 34"
14,"TRẠM BƠM 2","19:00 - 11/02/2026","Nhiệt Độ","19:00","22.37","oC","0 - 42"
14,"TRẠM BƠM 2","19:00 - 11/02/2026","Mực Nước","19:00","30.24","m","0 - 34"
14,"TRẠM BƠM 2","19:00 - 11/02/2026","Lưu Lượng","19:00","20.17","m3/h",""
14,"TRẠM BƠM 2","19:00 - 11/02/2026","Tổng Lưu Lượng","19:00","560,359.00","m3",""
15,"TRẠM BƠM 27","19:00 - 11/02/2026","Nhiệt Độ","19:00","22.76","oC","0 - 42"
