STT,Trạm,Thời điểm,Chỉ tiêu,Thời gian,Giá trị,Đơn vị,Giới hạn
15,"TRẠM BƠM 27","19:00 - 11/02/2026","Mực Nước","19:00","31.55","m","0 - 34"
15,"TRẠM BƠM 27","19:00 - 11/02/2026","Lưu Lượng","19:00","0.00","m3/h",""
15,"TRẠM BƠM 27","19:00 - 11/02/2026","Tổng Lưu Lượng","19:00","0.00","m3",""
16,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 3","19:00 - 11/02/2026","Nhiệt Độ","19:00","22.69","oC","0 - 42"
16,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 3","19:00 - 11/02/2026","Mực Nước","19:00","31.75","m","0 - 34"
16,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 3","19:00 - 11/02/2026","Lưu Lượng","19:00","87.20","m3/h",""
16,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 3","19:00 - 11/02/2026","Tổng Lưu Lượng","19:00","1,173,605.75","m3",""
17,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 2","19:00 - 11/02/2026","Nhiệt Độ","19:00","0.00","oC","0 - 42"
17,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 2","19:00 - 11/02/2026","Mực Nước","19:00","31.25","m","0 - 34"
17,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 2","19:00 - 11/02/2026","Lưu Lượng","19:00","74.54","m3/h",""
17,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 2","19:00 - 11/02/2026","Tổng Lưu Lượng","19:00","1,266,397.88","m3",""
18,"TRẠM BƠM 24","19:00 - 11/02/2026","Nhiệt Độ","19:00","0.00","oC","0 - 42"
18,"TRẠM BƠM 24","19:00 - 11/02/2026","Mực Nước","19:00","33.28","m","0 - 34"
18,"TRẠM BƠM 24","19:00 - 11/02/2026","Lưu Lượng","19:00","85.94","m3/h",""
18,"TRẠM BƠM 24","19:00 - 11/02/2026","Tổng Lưu Lượng","19:00","826,699.56","m3",""
19,"TRẠM BƠM 25","19:00 - 11/02/2026","Nhiệt Độ","19:00","83.17","oC","0 - 42"
19,"TRẠM BƠM 25","19:00 - 11/02/2026","Mực Nước","19:00","32.89","m","0 - 34"
19,"TRẠM BƠM 25","19:00 - 11/02/2026","Lưu Lượng","19:00","79.29","m3/h",""
19,"TRẠM BƠM 25","19:00 - 11/02/2026","Tổng Lưu Lượng","19:00","836,174.81","m3",""
